	sentiments
0	('neutral', 118)
1	('negative', 123)
2	('neutral', 190)
3	('neutral', 590)
4	('neutral', 161)
5	('neutral', 193)
6	('neutral', 548)
7	('negative', 340)
8	('neutral', 373)
9	('neutral', 303)
10	('negative', 346)
11	('neutral', 423)
13	('neutral', 614)
14	('neutral', 957)
15	('neutral', 185)
16	('neutral', 498)
17	('neutral', 214)
18	('neutral', 400)
19	('neutral', 534)
20	('neutral', 1120)
22	('neutral', 228)
23	('neutral', 459)
24	('neutral', 501)
25	('neutral', 565)
26	('neutral', 672)
27	('neutral', 647)
28	('neutral', 166)
29	('neutral', 844)
30	('neutral', 234)
31	('neutral', 301)
32	('neutral', 557)
33	('neutral', 742)
34	('neutral', 816)
35	('neutral', 334)
36	('neutral', 112)
37	('neutral', 506)
38	('neutral', 355)
39	('neutral', 271)
40	('neutral', 650)
41	('neutral', 313)
44	('neutral', 681)
45	('neutral', 69)
46	('neutral', 262)
47	('neutral', 382)
50	('neutral', 537)
51	('neutral', 42)
52	('neutral', 14)
53	('neutral', 449)
54	('neutral', 263)
56	('neutral', 265)
57	('neutral', 146)
58	('neutral', 1162)
60	('neutral', 233)
62	('neutral', 138)
63	('neutral', 145)
64	('neutral', 396)
65	('neutral', 409)
66	('neutral', 275)
67	('neutral', 183)
68	('neutral', 448)
69	('neutral', 63)
70	('neutral', 227)
71	('neutral', 778)
73	('neutral', 254)
74	('neutral', 125)
75	('neutral', 547)
76	('neutral', 189)
77	('neutral', 186)
78	('neutral', 534)
79	('neutral', 250)
83	('neutral', 364)
84	('neutral', 647)
85	('neutral', 266)
86	('neutral', 246)
88	('neutral', 431)
89	('neutral', 171)
90	('neutral', 391)
91	('neutral', 654)
92	('neutral', 227)
93	('neutral', 490)
94	('neutral', 604)
95	('neutral', 272)
96	('neutral', 294)
100	('negative', 185)
104	('neutral', 564)
105	('neutral', 591)
107	('negative', 482)
109	('neutral', 498)
110	('neutral', 354)
111	('neutral', 678)
112	('neutral', 282)
114	('neutral', 192)
115	('neutral', 306)
116	('neutral', 379)
119	('neutral', 8)
120	('neutral', 147)
121	('neutral', 279)
122	('neutral', 920)
123	('neutral', 83)
124	('neutral', 301)
125	('neutral', 618)
126	('neutral', 906)
127	('neutral', 120)
128	('neutral', 562)
129	('neutral', 88)
130	('neutral', 487)
131	('neutral', 209)
132	('neutral', 160)
133	('neutral', 103)
135	('neutral', 645)
136	('neutral', 426)
137	('neutral', 103)
139	('neutral', 24)
140	('neutral', 431)
141	('neutral', 407)
142	('neutral', 236)
143	('neutral', 336)
144	('neutral', 643)
145	('neutral', 258)
146	('neutral', 737)
147	('neutral', 437)
148	('neutral', 1275)
149	('neutral', 797)
150	('neutral', 713)
151	('neutral', 1236)
